source	text	external_value	reason	code	status
SUBTLEX-CH	和	150418.0	licensed-source-high-frequency-existing-SBZR-codes	h;houe	review_only_existing_codes
SUBTLEX-CH	他们	140460.0	licensed-source-high-frequency-existing-SBZR-codes	tamf	review_only_existing_codes
SUBTLEX-CH	到	139534.0	licensed-source-high-frequency-existing-SBZR-codes	dk;dkea	review_only_existing_codes
SUBTLEX-CH	对	132805.0	licensed-source-high-frequency-existing-SBZR-codes	dv;dvao	review_only_existing_codes
SUBTLEX-CH	也	131801.0	licensed-source-high-frequency-existing-SBZR-codes	ye;yeai	review_only_existing_codes
SUBTLEX-CH	啊	130963.0	licensed-source-high-frequency-existing-SBZR-codes	a;va;vaia	review_only_existing_codes
SUBTLEX-CH	还	130326.0	licensed-source-high-frequency-existing-SBZR-codes	hl;hr;hreu	review_only_existing_codes
SUBTLEX-CH	把	124534.0	licensed-source-high-frequency-existing-SBZR-codes	ba;baei	review_only_existing_codes
SUBTLEX-CH	让	123809.0	licensed-source-high-frequency-existing-SBZR-codes	rh;rhoa	review_only_existing_codes
SUBTLEX-CH	做	122364.0	licensed-source-high-frequency-existing-SBZR-codes	zo;zoui	review_only_existing_codes
SUBTLEX-CH	给	117218.0	licensed-source-high-frequency-existing-SBZR-codes	gz;gzaa;jiaa	review_only_existing_codes
SUBTLEX-CH	一个	116726.0	licensed-source-high-frequency-existing-SBZR-codes	yige	review_only_existing_codes
SUBTLEX-CH	上	114371.0	licensed-source-high-frequency-existing-SBZR-codes	sh;shie;uh	review_only_existing_codes
SUBTLEX-CH	你们	112946.0	licensed-source-high-frequency-existing-SBZR-codes	nimf	review_only_existing_codes
SUBTLEX-CH	过	112388.0	licensed-source-high-frequency-existing-SBZR-codes	goei	review_only_existing_codes
SUBTLEX-CH	没有	108237.0	licensed-source-high-frequency-existing-SBZR-codes	moyb;myb;mzyb	review_only_existing_codes
SUBTLEX-CH	得	105189.0	licensed-source-high-frequency-existing-SBZR-codes	deu;deuu;dz;dzuu	review_only_existing_codes
SUBTLEX-CH	看	102546.0	licensed-source-high-frequency-existing-SBZR-codes	kh;kj;kjue	review_only_existing_codes
SUBTLEX-CH	真	102445.0	licensed-source-high-frequency-existing-SBZR-codes	zf;zfei	review_only_existing_codes
SUBTLEX-CH	着	100091.0	licensed-source-high-frequency-existing-SBZR-codes	zoou	review_only_existing_codes
SUBTLEX-CH	事	97715.0	licensed-source-high-frequency-existing-SBZR-codes	siei	review_only_existing_codes
SUBTLEX-CH	这个	92058.0	licensed-source-high-frequency-existing-SBZR-codes	zege;zzg;zzge	review_only_existing_codes
SUBTLEX-CH	怎么	89166.0	licensed-source-high-frequency-existing-SBZR-codes	zfme	review_only_existing_codes
SUBTLEX-CH	现在	88120.0	licensed-source-high-frequency-existing-SBZR-codes	xmzl	review_only_existing_codes
SUBTLEX-CH	可以	79198.0	licensed-source-high-frequency-existing-SBZR-codes	keyi;ky	review_only_existing_codes
SUBTLEX-CH	点	77665.0	licensed-source-high-frequency-existing-SBZR-codes	dm;dmie	review_only_existing_codes
SUBTLEX-CH	呢	76752.0	licensed-source-high-frequency-existing-SBZR-codes	ne;niia	review_only_existing_codes
SUBTLEX-CH	如果	76417.0	licensed-source-high-frequency-existing-SBZR-codes	rugo	review_only_existing_codes
SUBTLEX-CH	只	72698.0	licensed-source-high-frequency-existing-SBZR-codes	ziia	review_only_existing_codes
SUBTLEX-CH	别	69865.0	licensed-source-high-frequency-existing-SBZR-codes	bx;bxia	review_only_existing_codes
SUBTLEX-CH	哦	69380.0	licensed-source-high-frequency-existing-SBZR-codes	o;ou;vo	review_only_existing_codes
SUBTLEX-CH	但	68241.0	licensed-source-high-frequency-existing-SBZR-codes	dj;djui	review_only_existing_codes
SUBTLEX-CH	被	65695.0	licensed-source-high-frequency-existing-SBZR-codes	bz;bzoa	review_only_existing_codes
SUBTLEX-CH	走	65258.0	licensed-source-high-frequency-existing-SBZR-codes	zb;zbei	review_only_existing_codes
SUBTLEX-CH	太	65151.0	licensed-source-high-frequency-existing-SBZR-codes	tl;tleu;tlwj	review_only_existing_codes
SUBTLEX-CH	这样	64295.0	licensed-source-high-frequency-existing-SBZR-codes	zeyh	review_only_existing_codes
SUBTLEX-CH	里	63276.0	licensed-source-high-frequency-existing-SBZR-codes	li;liia	review_only_existing_codes
SUBTLEX-CH	跟	62979.0	licensed-source-high-frequency-existing-SBZR-codes	gf;gfia	review_only_existing_codes
SUBTLEX-CH	告诉	61222.0	licensed-source-high-frequency-existing-SBZR-codes	gksu	review_only_existing_codes
SUBTLEX-CH	因为	59823.0	licensed-source-high-frequency-existing-SBZR-codes	ynwz	review_only_existing_codes
SUBTLEX-CH	自己	57978.0	licensed-source-high-frequency-existing-SBZR-codes	ziji	review_only_existing_codes
SUBTLEX-CH	再	56520.0	licensed-source-high-frequency-existing-SBZR-codes	zl;zlei	review_only_existing_codes
SUBTLEX-CH	听	54888.0	licensed-source-high-frequency-existing-SBZR-codes	tyia;yt	review_only_existing_codes
SUBTLEX-CH	这里	53900.0	licensed-source-high-frequency-existing-SBZR-codes	zeli	review_only_existing_codes
SUBTLEX-CH	快	53510.0	licensed-source-high-frequency-existing-SBZR-codes	ky;kyoo	review_only_existing_codes
SUBTLEX-CH	谁	52782.0	licensed-source-high-frequency-existing-SBZR-codes	svoa;sz	review_only_existing_codes
SUBTLEX-CH	但是	52718.0	licensed-source-high-frequency-existing-SBZR-codes	djsi	review_only_existing_codes
SUBTLEX-CH	多	52605.0	licensed-source-high-frequency-existing-SBZR-codes	doua	review_only_existing_codes
SUBTLEX-CH	用	52436.0	licensed-source-high-frequency-existing-SBZR-codes	ys;ysua	review_only_existing_codes
SUBTLEX-CH	时候	52176.0	licensed-source-high-frequency-existing-SBZR-codes	sihb	review_only_existing_codes
SUBTLEX-CH	下	51975.0	licensed-source-high-frequency-existing-SBZR-codes	ia;x;xw;xwei	review_only_existing_codes
SUBTLEX-CH	已经	51772.0	licensed-source-high-frequency-existing-SBZR-codes	yijy	review_only_existing_codes
SUBTLEX-CH	谢谢	51457.0	licensed-source-high-frequency-existing-SBZR-codes	xxxx	review_only_existing_codes
SUBTLEX-CH	为什么	51063.0	licensed-source-high-frequency-existing-SBZR-codes	wsme;wzsfme	review_only_existing_codes
SUBTLEX-CH	觉得	51047.0	licensed-source-high-frequency-existing-SBZR-codes	jcde;jtde	review_only_existing_codes
SUBTLEX-CH	天	50660.0	licensed-source-high-frequency-existing-SBZR-codes	tm;tmee	review_only_existing_codes
SUBTLEX-CH	像	50229.0	licensed-source-high-frequency-existing-SBZR-codes	xdui	review_only_existing_codes
SUBTLEX-CH	这么	49082.0	licensed-source-high-frequency-existing-SBZR-codes	zeme;zmu	review_only_existing_codes
SUBTLEX-CH	它	49024.0	licensed-source-high-frequency-existing-SBZR-codes	taoo	review_only_existing_codes
SUBTLEX-CH	从	47313.0	licensed-source-high-frequency-existing-SBZR-codes	cs;csuo	review_only_existing_codes
SUBTLEX-CH	先生	46864.0	licensed-source-high-frequency-existing-SBZR-codes	xmsg	review_only_existing_codes
SUBTLEX-CH	找	46647.0	licensed-source-high-frequency-existing-SBZR-codes	zkei	review_only_existing_codes
SUBTLEX-CH	最	46464.0	licensed-source-high-frequency-existing-SBZR-codes	zv;zvia	review_only_existing_codes
SUBTLEX-CH	喜欢	46146.0	licensed-source-high-frequency-existing-SBZR-codes	xihr	review_only_existing_codes
SUBTLEX-CH	可	46123.0	licensed-source-high-frequency-existing-SBZR-codes	bblj;k;keei	review_only_existing_codes
SUBTLEX-CH	为	45565.0	licensed-source-high-frequency-existing-SBZR-codes	wz;wzou	review_only_existing_codes
SUBTLEX-CH	大	45061.0	licensed-source-high-frequency-existing-SBZR-codes	da;dleu	review_only_existing_codes
SUBTLEX-CH	可能	44424.0	licensed-source-high-frequency-existing-SBZR-codes	keng	review_only_existing_codes
SUBTLEX-CH	象是	547.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	克鲁	438.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	全美超	431.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	德克萨斯	405.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	沃恩	361.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	费耶德	289.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	杰克·鲍尔	268.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	包里克	248.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	伊迪	228.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	罗伯	219.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	南茜	206.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	格列登科	180.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	科迪	177.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	荣恩	169.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	塞勒	164.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	朱玛	141.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	克雷塞	140.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	拾一	140.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	尚宇	137.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	上十	136.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	纳杉	134.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	马西墨斯	133.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	达西	128.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	伯特	124.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	奥莉芙	118.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	帕默尔	114.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	麦特	113.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	厄尔	112.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	戴维·帕默尔	111.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	伊桑	109.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	芭芭	109.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	克里夫兰	108.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	皮蒂	107.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	尼基	103.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	玩艺	103.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	乌瑞纳斯	102.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	玛托博	102.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	泰秀	101.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	耶酥	101.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	斯塔克伍德	100.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	史杜	99.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	卡拉狄加	98.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	马利	98.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	伊安	97.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	哇奥	97.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	娜蒂娅	96.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	希德	93.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	戴茜	93.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	阿基	92.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
SUBTLEX-CH	杜普利	91.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
Rime essay	的	4822928.0	licensed-source-high-frequency-existing-SBZR-codes	d;de;diui	review_only_existing_codes
Rime essay	了	1512483.0	licensed-source-high-frequency-existing-SBZR-codes	l;lcai;le	review_only_existing_codes
Rime essay	我	1191912.0	licensed-source-high-frequency-existing-SBZR-codes	w;wo;woue	review_only_existing_codes
Rime essay	是	1180106.0	licensed-source-high-frequency-existing-SBZR-codes	s;sh;si;siia	review_only_existing_codes
Rime essay	在	974219.0	licensed-source-high-frequency-existing-SBZR-codes	z;zl;zleu	review_only_existing_codes
Rime essay	你	972978.0	licensed-source-high-frequency-existing-SBZR-codes	n;ni;niui	review_only_existing_codes
Rime essay	和	665031.0	licensed-source-high-frequency-existing-SBZR-codes	h;houe	review_only_existing_codes
Rime essay	就是	664963.0	licensed-source-high-frequency-existing-SBZR-codes	jqsi	review_only_existing_codes
Rime essay	有	613999.0	licensed-source-high-frequency-existing-SBZR-codes	yb;ybe;ybeu	review_only_existing_codes
Rime essay	不	590801.0	licensed-source-high-frequency-existing-SBZR-codes	b;bu;bueu	review_only_existing_codes
Rime essay	但是	567022.0	licensed-source-high-frequency-existing-SBZR-codes	djsi	review_only_existing_codes
Rime essay	就	558574.0	licensed-source-high-frequency-existing-SBZR-codes	j;jq;jqoe	review_only_existing_codes
Rime essay	所以	531858.0	licensed-source-high-frequency-existing-SBZR-codes	soyi	review_only_existing_codes
Rime essay	可以	483983.0	licensed-source-high-frequency-existing-SBZR-codes	keyi;ky	review_only_existing_codes
Rime essay	如果	448056.0	licensed-source-high-frequency-existing-SBZR-codes	rugo	review_only_existing_codes
Rime essay	自己	444292.0	licensed-source-high-frequency-existing-SBZR-codes	ziji	review_only_existing_codes
Rime essay	都	407808.0	licensed-source-high-frequency-existing-SBZR-codes	db;dbei;dbeie;du;duei	review_only_existing_codes
Rime essay	也	404779.0	licensed-source-high-frequency-existing-SBZR-codes	ye;yeai	review_only_existing_codes
Rime essay	要	397297.0	licensed-source-high-frequency-existing-SBZR-codes	yj;yk;ykei	review_only_existing_codes
Rime essay	吧	385554.0	licensed-source-high-frequency-existing-SBZR-codes	baia	review_only_existing_codes
Rime essay	都是	383549.0	licensed-source-high-frequency-existing-SBZR-codes	dbs;dbsi;dus;dusi	review_only_existing_codes
Rime essay	好	378951.0	licensed-source-high-frequency-existing-SBZR-codes	hk;hkau	review_only_existing_codes
Rime essay	他	344401.0	licensed-source-high-frequency-existing-SBZR-codes	t;ta;taui	review_only_existing_codes
Rime essay	說	340332.0	licensed-source-high-frequency-existing-SBZR-codes	so;sv;yt	review_only_existing_codes
Rime essay	去	331354.0	licensed-source-high-frequency-existing-SBZR-codes	q;quei	review_only_existing_codes
Rime essay	或者	316870.0	licensed-source-high-frequency-existing-SBZR-codes	hoze	review_only_existing_codes
Rime essay	也是	305905.0	licensed-source-high-frequency-existing-SBZR-codes	yesi	review_only_existing_codes
Rime essay	很多	303301.0	licensed-source-high-frequency-existing-SBZR-codes	hfdo	review_only_existing_codes
Rime essay	到	297457.0	licensed-source-high-frequency-existing-SBZR-codes	dk;dkea	review_only_existing_codes
Rime essay	沒	296233.0	licensed-source-high-frequency-existing-SBZR-codes	mo;mz	review_only_existing_codes
Rime essay	還	286212.0	licensed-source-high-frequency-existing-SBZR-codes	hl;hr	review_only_existing_codes
Rime essay	上	285526.0	licensed-source-high-frequency-existing-SBZR-codes	sh;shie;uh	review_only_existing_codes
Rime essay	需要	281927.0	licensed-source-high-frequency-existing-SBZR-codes	xuyk	review_only_existing_codes
Rime essay	對	280800.0	licensed-source-high-frequency-existing-SBZR-codes	dv	review_only_existing_codes
Rime essay	那	270779.0	licensed-source-high-frequency-existing-SBZR-codes	na;naae	review_only_existing_codes
Rime essay	一些	260081.0	licensed-source-high-frequency-existing-SBZR-codes	yixx	review_only_existing_codes
Rime essay	比如	252143.0	licensed-source-high-frequency-existing-SBZR-codes	biru	review_only_existing_codes
Rime essay	人	250956.0	licensed-source-high-frequency-existing-SBZR-codes	r;rf;rfuo	review_only_existing_codes
Rime essay	而且	250274.0	licensed-source-high-frequency-existing-SBZR-codes	vrqx	review_only_existing_codes
Rime essay	呵呵	250099.0	licensed-source-high-frequency-existing-SBZR-codes	hehe	review_only_existing_codes
Rime essay	個	246257.0	licensed-source-high-frequency-existing-SBZR-codes	ge	review_only_existing_codes
Rime essay	看	245657.0	licensed-source-high-frequency-existing-SBZR-codes	kh;kj;kjue	review_only_existing_codes
Rime essay	中	243870.0	licensed-source-high-frequency-existing-SBZR-codes	vn;zs;zsia	review_only_existing_codes
Rime essay	呢	242959.0	licensed-source-high-frequency-existing-SBZR-codes	ne;niia	review_only_existing_codes
Rime essay	來	235090.0	licensed-source-high-frequency-existing-SBZR-codes	ll	review_only_existing_codes
Rime essay	公司	234244.0	licensed-source-high-frequency-existing-SBZR-codes	gssi	review_only_existing_codes
Rime essay	嗎	221081.0	licensed-source-high-frequency-existing-SBZR-codes	ma	review_only_existing_codes
Rime essay	不是	213981.0	licensed-source-high-frequency-existing-SBZR-codes	busi;dpsi;fbsi	review_only_existing_codes
Rime essay	爲	211329.0	licensed-source-high-frequency-existing-SBZR-codes	wz	review_only_existing_codes
Rime essay	會	209833.0	licensed-source-high-frequency-existing-SBZR-codes	hv;ky	review_only_existing_codes
Rime essay	她	204714.0	licensed-source-high-frequency-existing-SBZR-codes	taau	review_only_existing_codes
Rime essay	與	203964.0	licensed-source-high-frequency-existing-SBZR-codes	yu	review_only_existing_codes
Rime essay	以及	201551.0	licensed-source-high-frequency-existing-SBZR-codes	yiji	review_only_existing_codes
Rime essay	可能	195401.0	licensed-source-high-frequency-existing-SBZR-codes	keng	review_only_existing_codes
Rime essay	給	192996.0	licensed-source-high-frequency-existing-SBZR-codes	gz;ji	review_only_existing_codes
Rime essay	等	183329.0	licensed-source-high-frequency-existing-SBZR-codes	dg;dgue	review_only_existing_codes
Rime essay	這	181776.0	licensed-source-high-frequency-existing-SBZR-codes	ze	review_only_existing_codes
Rime essay	工作	177744.0	licensed-source-high-frequency-existing-SBZR-codes	gszo	review_only_existing_codes
Rime essay	真的	169887.0	licensed-source-high-frequency-existing-SBZR-codes	zfde;zfdi	review_only_existing_codes
Rime essay	用	168923.0	licensed-source-high-frequency-existing-SBZR-codes	ys;ysua	review_only_existing_codes
Rime essay	直接	167731.0	licensed-source-high-frequency-existing-SBZR-codes	zijx	review_only_existing_codes
Rime essay	大家	167401.0	licensed-source-high-frequency-existing-SBZR-codes	dajw	review_only_existing_codes
Rime essay	把	166222.0	licensed-source-high-frequency-existing-SBZR-codes	ba;baei	review_only_existing_codes
Rime essay	如何	164630.0	licensed-source-high-frequency-existing-SBZR-codes	ruhe	review_only_existing_codes
Rime essay	下	164421.0	licensed-source-high-frequency-existing-SBZR-codes	ia;x;xw;xwei	review_only_existing_codes
Rime essay	恩	162561.0	licensed-source-high-frequency-existing-SBZR-codes	en;enia	review_only_existing_codes
Rime essay	能	162177.0	licensed-source-high-frequency-existing-SBZR-codes	ng;ngao	review_only_existing_codes
Rime essay	一下	161487.0	licensed-source-high-frequency-existing-SBZR-codes	yixw	review_only_existing_codes
Rime essay	很	160978.0	licensed-source-high-frequency-existing-SBZR-codes	hf;hfuu	review_only_existing_codes
Rime essay	你的	159646.0	licensed-source-high-frequency-existing-SBZR-codes	nide;nidi	review_only_existing_codes
Rime essay	甚至	158377.0	licensed-source-high-frequency-existing-SBZR-codes	sfzi	review_only_existing_codes
Rime essay	我的	158176.0	licensed-source-high-frequency-existing-SBZR-codes	wode;wodi	review_only_existing_codes
Rime essay	只有	157451.0	licensed-source-high-frequency-existing-SBZR-codes	qiyb;ziyb	review_only_existing_codes
Rime essay	多	154899.0	licensed-source-high-frequency-existing-SBZR-codes	doua	review_only_existing_codes
Rime essay	做	154888.0	licensed-source-high-frequency-existing-SBZR-codes	zo;zoui	review_only_existing_codes
Rime essay	使用	152166.0	licensed-source-high-frequency-existing-SBZR-codes	siys	review_only_existing_codes
Rime essay	之前	148413.0	licensed-source-high-frequency-existing-SBZR-codes	ziqm	review_only_existing_codes
Rime essay	回答	146762.0	licensed-source-high-frequency-existing-SBZR-codes	hida;hvda	review_only_existing_codes
Rime essay	知道	145224.0	licensed-source-high-frequency-existing-SBZR-codes	zidk	review_only_existing_codes
Rime essay	只是	145013.0	licensed-source-high-frequency-existing-SBZR-codes	zisi	review_only_existing_codes
Rime essay	他的	144754.0	licensed-source-high-frequency-existing-SBZR-codes	tade;tadi	review_only_existing_codes
Rime essay	想	142577.0	licensed-source-high-frequency-existing-SBZR-codes	wx;xd;xdei	review_only_existing_codes
Rime essay	其他	141365.0	licensed-source-high-frequency-existing-SBZR-codes	qita	review_only_existing_codes
Rime essay	點	138948.0	licensed-source-high-frequency-existing-SBZR-codes	dm	review_only_existing_codes
Rime essay	被	138923.0	licensed-source-high-frequency-existing-SBZR-codes	bz;bzoa	review_only_existing_codes
Rime essay	一般	138040.0	licensed-source-high-frequency-existing-SBZR-codes	yibj	review_only_existing_codes
Rime essay	地	137626.0	licensed-source-high-frequency-existing-SBZR-codes	dee;diei	review_only_existing_codes
Rime essay	能力	137141.0	licensed-source-high-frequency-existing-SBZR-codes	ngli	review_only_existing_codes
Rime essay	而	136709.0	licensed-source-high-frequency-existing-SBZR-codes	eeu;v;vr	review_only_existing_codes
Rime essay	看到	136086.0	licensed-source-high-frequency-existing-SBZR-codes	kjdk	review_only_existing_codes
Rime essay	一	135314.0	licensed-source-high-frequency-existing-SBZR-codes	y;yi;yiee	review_only_existing_codes
Rime essay	後	135175.0	licensed-source-high-frequency-existing-SBZR-codes	hb	review_only_existing_codes
Rime essay	除了	133824.0	licensed-source-high-frequency-existing-SBZR-codes	cule	review_only_existing_codes
Rime essay	又	133689.0	licensed-source-high-frequency-existing-SBZR-codes	yb;ybao	review_only_existing_codes
Rime essay	非常	129032.0	licensed-source-high-frequency-existing-SBZR-codes	fich;fzch	review_only_existing_codes
Rime essay	從	128082.0	licensed-source-high-frequency-existing-SBZR-codes	cs;zs	review_only_existing_codes
Rime essay	方式	124842.0	licensed-source-high-frequency-existing-SBZR-codes	fhsi	review_only_existing_codes
Rime essay	中的	122902.0	licensed-source-high-frequency-existing-SBZR-codes	zsde;zsdi	review_only_existing_codes
Rime essay	哈哈	122324.0	licensed-source-high-frequency-existing-SBZR-codes	haha	review_only_existing_codes
Rime essay	再	121531.0	licensed-source-high-frequency-existing-SBZR-codes	zl;zlei	review_only_existing_codes
Rime essay	一個	635391.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
Rime essay	這個	559659.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
Rime essay	我們	479209.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
Rime essay	因爲	474154.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
Rime essay	的時候	429078.0	licensed-source-high-frequency-but-absent-from-SBZR		review_only_no_code
